input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.2218	0		107	2265	783	2941
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3277	0		998	354	1657	1013
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.3742	0		405	1689	1657	2941
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.2693	0		174	2102	1013	2941
tcga_cancer__KIRC_edgeR	tcga_cancer	hallmark	c2_kegg	0.2371	0		780	491	1175	886
tcga_cancer__KIRC_edgeR	tcga_cancer	hallmark	c2_reactome	0.2368	0		597	1266	1175	1844
tcga_cancer__KIRC_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.268	0		672	702	1175	1205
tcga_cancer__KIRC_edgeR	tcga_cancer	hallmark	c5_go_bp	0.224	0		375	2396	1175	3196
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2896	0		273	1231	886	1844
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.4052	0		283	602	886	1205
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.2366	0		105	2415	886	3196
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.3251	0		1096	457	1844	1205
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3673	0		490	1842	1844	3196
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2925	0		209	2200	1205	3196
tcga_cancer__KIRC_limma	tcga_cancer	hallmark	c2_kegg	0.2474	0		770	483	1182	895
tcga_cancer__KIRC_limma	tcga_cancer	hallmark	c2_reactome	0.2552	0		481	1565	1182	2266
tcga_cancer__KIRC_limma	tcga_cancer	hallmark	c2_wikipathways	0.2825	0		641	733	1182	1274
tcga_cancer__KIRC_limma	tcga_cancer	hallmark	c5_go_bp	0.2186	0		254	3064	1182	3992
tcga_cancer__KIRC_limma	tcga_cancer	c2_kegg	c2_reactome	0.2741	0		215	1586	895	2266
tcga_cancer__KIRC_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.3895	0		287	666	895	1274
tcga_cancer__KIRC_limma	tcga_cancer	c2_kegg	c5_go_bp	0.199	0		84	3181	895	3992
tcga_cancer__KIRC_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.3384	0		1371	379	2266	1274
tcga_cancer__KIRC_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3839	0		530	2256	2266	3992
tcga_cancer__KIRC_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.2622	0		180	2898	1274	3992
tcga_cancer__KIRP_DESeq2	tcga_cancer	hallmark	c2_kegg	0.1403	0		458	363	592	497
tcga_cancer__KIRP_DESeq2	tcga_cancer	hallmark	c2_reactome	0.182	0		300	1012	592	1304
tcga_cancer__KIRP_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.1718	0		419	415	592	588
tcga_cancer__KIRP_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.142	0		151	2514	592	2955
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2252	0		166	973	497	1304
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.2631	0		271	362	497	588
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1355	0		85	2543	497	2955
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.239	0		939	223	1304	588
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.2953	0		333	1984	1304	2955
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.1533	0		117	2484	588	2955
tcga_cancer__KIRP_edgeR	tcga_cancer	hallmark	c2_kegg	0.1718	0		622	453	845	676
tcga_cancer__KIRP_edgeR	tcga_cancer	hallmark	c2_reactome	0.186	0		416	1461	845	1890
tcga_cancer__KIRP_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.1725	0		544	900	845	1201
tcga_cancer__KIRP_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1575	0		222	3111	845	3734
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.219	0		215	1429	676	1890
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.2547	0		295	820	676	1201
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.144	0		121	3179	676	3734
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.2836	0		1207	518	1890	1201
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3413	0		459	2303	1890	3734
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.2359	0		259	2792	1201	3734
tcga_cancer__KIRP_limma	tcga_cancer	hallmark	c2_kegg	0.2175	0		585	566	905	886
